temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
19.6,54.6,12.8,21.9,2170-03-13,Zone 2,0.85,263.15,511.13,"['innondation', 'seisme']"
19.6,54.6,12.8,21.9,2170-03-13,Zone 1,0.54,258.8,195.69,['aucun']
19.6,54.6,12.8,21.9,2170-03-13,Zone 3,0.45,189.43,742.27,['innondation']
18.8,77.8,7.9,14.1,2171-03-13,Zone 2,0.92,203.18,783.52,['innondation']
18.8,77.8,7.9,14.1,2171-03-13,Zone 1,0.56,277.12,359.92,['aucun']
18.8,77.8,7.9,14.1,2171-03-13,Zone 3,0.65,110.57,960.52,['innondation']
18.1,39.6,4.0,6.6,2170-04-13,Zone 2,0.54,254.13,798.55,['innondation']
18.1,39.6,4.0,6.6,2170-04-13,Zone 1,0.98,219.07,799.87,['seisme']
18.1,39.6,4.0,6.6,2170-04-13,Zone 3,0.69,184.14,372.24,['innondation']
18.9,78.9,3.5,5.2,2171-04-13,Zone 2,0.66,216.25,720.96,['seisme']
18.9,78.9,3.5,5.2,2171-04-13,Zone 1,0.51,199.18,121.26,['aucun']
18.9,78.9,3.5,5.2,2171-04-13,Zone 3,0.65,118.02,759.49,['innondation']
16.8,64.9,5.4,10.7,2170-05-13,Zone 2,0.64,259.26,570.3,"['innondation', 'seisme']"
16.8,64.9,5.4,10.7,2170-05-13,Zone 1,0.84,183.7,137.14,['aucun']
16.8,64.9,5.4,10.7,2170-05-13,Zone 3,0.53,109.86,98.68,['aucun']
25.9,57.7,3.4,5.5,2171-05-13,Zone 2,0.53,169.81,914.62,['innondation']
25.9,57.7,3.4,5.5,2171-05-13,Zone 1,0.53,239.88,603.17,['aucun']
25.9,57.7,3.4,5.5,2171-05-13,Zone 3,0.63,159.71,409.43,['innondation']
34.8,43.1,1.1,1.2,2170-06-13,Zone 2,0.87,151.49,752.64,['innondation']
34.8,43.1,1.1,1.2,2170-06-13,Zone 1,0.94,171.4,163.48,['aucun']
34.8,43.1,1.1,1.2,2170-06-13,Zone 3,0.68,139.48,311.3,['aucun']
37.2,45.3,4.3,10.2,2171-06-13,Zone 2,0.95,215.14,901.91,['aucun']
37.2,45.3,4.3,10.2,2171-06-13,Zone 1,0.8,294.37,363.46,['seisme']
37.2,45.3,4.3,10.2,2171-06-13,Zone 3,0.63,164.23,205.85,['innondation']
27.3,55.5,14.6,24.4,2170-07-13,Zone 2,0.9,183.84,797.93,['innondation']
27.3,55.5,14.6,24.4,2170-07-13,Zone 1,0.73,209.22,733.47,['aucun']
27.3,55.5,14.6,24.4,2170-07-13,Zone 3,0.5,141.66,698.66,['innondation']
40.7,25.5,2.6,7.3,2171-07-13,Zone 2,0.71,204.91,19.51,"['innondation', 'seisme']"
40.7,25.5,2.6,7.3,2171-07-13,Zone 1,0.72,252.26,373.84,['aucun']
40.7,25.5,2.6,7.3,2171-07-13,Zone 3,0.35,167.31,157.95,['aucun']
41.2,38.7,3.5,10.0,2171-08-13,Zone 2,1.0,227.65,783.68,['aucun']
41.2,38.7,3.5,10.0,2171-08-13,Zone 1,0.89,242.48,227.52,['seisme']
41.2,38.7,3.5,10.0,2171-08-13,Zone 3,0.59,143.31,656.15,['aucun']
37.3,49.9,3.5,13.3,2171-09-13,Zone 2,0.61,216.82,713.68,['aucun']
37.3,49.9,3.5,13.3,2171-09-13,Zone 1,0.69,188.01,35.35,['aucun']
37.3,49.9,3.5,13.3,2171-09-13,Zone 3,0.61,195.77,4.53,['innondation']
11.8,68.4,12.5,20.4,2170-01-14,Zone 2,0.58,220.15,395.81,['innondation']
11.8,68.4,12.5,20.4,2170-01-14,Zone 1,0.57,186.29,680.57,['aucun']
11.8,68.4,12.5,20.4,2170-01-14,Zone 3,0.56,198.64,63.72,['aucun']
9.1,70.9,3.5,3.4,2171-01-14,Zone 2,0.74,296.9,186.48,"['innondation', 'seisme']"
9.1,70.9,3.5,3.4,2171-01-14,Zone 1,0.64,274.49,306.3,['seisme']
9.1,70.9,3.5,3.4,2171-01-14,Zone 3,0.69,129.88,812.05,['innondation']
19.5,50.2,3.3,6.6,2170-10-14,Zone 2,0.82,235.29,585.6,['aucun']
19.5,50.2,3.3,6.6,2170-10-14,Zone 1,0.57,280.11,260.87,['aucun']
19.5,50.2,3.3,6.6,2170-10-14,Zone 3,0.62,100.93,734.26,['innondation']
26.6,65.6,8.3,13.3,2171-10-14,Zone 2,0.55,260.67,276.05,['innondation']
26.6,65.6,8.3,13.3,2171-10-14,Zone 1,0.52,165.24,325.21,['aucun']
26.6,65.6,8.3,13.3,2171-10-14,Zone 3,0.45,129.55,878.95,['aucun']
14.6,67.6,6.7,12.9,2170-11-14,Zone 2,0.94,168.33,210.86,['aucun']
14.6,67.6,6.7,12.9,2170-11-14,Zone 1,0.81,240.9,754.42,['seisme']
14.6,67.6,6.7,12.9,2170-11-14,Zone 3,0.63,145.33,55.32,['innondation']
22.1,71.1,5.1,9.1,2171-11-14,Zone 2,0.92,273.9,305.48,"['innondation', 'seisme']"
22.1,71.1,5.1,9.1,2171-11-14,Zone 1,0.76,225.79,125.42,['aucun']
22.1,71.1,5.1,9.1,2171-11-14,Zone 3,0.3,194.8,832.45,['innondation']
12.6,69.0,2.9,0.9,2170-12-14,Zone 2,0.71,213.19,155.72,['aucun']
12.6,69.0,2.9,0.9,2170-12-14,Zone 1,0.71,219.29,213.99,['seisme']
12.6,69.0,2.9,0.9,2170-12-14,Zone 3,0.69,182.49,677.42,['innondation']
22.6,75.0,3.3,5.5,2171-12-14,Zone 2,0.6,271.68,504.48,['aucun']
22.6,75.0,3.3,5.5,2171-12-14,Zone 1,0.83,158.66,288.88,['aucun']
22.6,75.0,3.3,5.5,2171-12-14,Zone 3,0.36,138.82,598.49,['innondation']
0.6,44.5,9.8,23.9,2170-02-14,Zone 2,0.98,152.52,418.95,['innondation']
0.6,44.5,9.8,23.9,2170-02-14,Zone 1,0.78,200.24,483.71,['seisme']
0.6,44.5,9.8,23.9,2170-02-14,Zone 3,0.36,186.01,375.18,['innondation']
16.1,65.8,14.7,26.4,2171-02-14,Zone 2,0.97,177.69,451.08,['aucun']
16.1,65.8,14.7,26.4,2171-02-14,Zone 1,0.9,172.26,496.67,['aucun']
16.1,65.8,14.7,26.4,2171-02-14,Zone 3,0.49,159.74,624.32,['innondation']
15.5,56.7,11.3,19.1,2170-03-14,Zone 2,0.91,183.21,880.7,['innondation']
15.5,56.7,11.3,19.1,2170-03-14,Zone 1,0.76,209.89,491.59,['seisme']
15.5,56.7,11.3,19.1,2170-03-14,Zone 3,0.32,182.37,963.18,['innondation']
16.8,58.0,20.4,47.8,2171-03-14,Zone 2,0.75,255.34,808.55,['aucun']
16.8,58.0,20.4,47.8,2171-03-14,Zone 1,0.56,224.4,446.7,['aucun']
16.8,58.0,20.4,47.8,2171-03-14,Zone 3,0.61,155.32,175.52,['aucun']
20.8,40.8,4.2,7.5,2170-04-14,Zone 2,0.74,299.13,51.46,"['innondation', 'seisme']"
20.8,40.8,4.2,7.5,2170-04-14,Zone 1,0.73,280.85,650.54,['seisme']
20.8,40.8,4.2,7.5,2170-04-14,Zone 3,0.31,145.79,639.14,['aucun']
22.4,63.8,3.6,5.6,2171-04-14,Zone 2,0.75,178.38,369.98,['innondation']
22.4,63.8,3.6,5.6,2171-04-14,Zone 1,1.0,187.49,23.21,['aucun']
22.4,63.8,3.6,5.6,2171-04-14,Zone 3,0.54,130.72,884.43,['innondation']
18.5,48.7,12.0,20.2,2170-05-14,Zone 2,0.62,232.84,16.68,"['innondation', 'seisme']"
18.5,48.7,12.0,20.2,2170-05-14,Zone 1,0.9,243.7,527.46,['seisme']
18.5,48.7,12.0,20.2,2170-05-14,Zone 3,0.65,110.93,576.91,['innondation']
29.0,52.7,4.4,8.7,2171-05-14,Zone 2,0.99,292.7,394.47,"['innondation', 'seisme']"
29.0,52.7,4.4,8.7,2171-05-14,Zone 1,0.74,263.01,207.26,['aucun']
29.0,52.7,4.4,8.7,2171-05-14,Zone 3,0.41,123.7,82.35,['innondation']
41.3,42.9,4.9,11.5,2170-06-14,Zone 2,0.55,239.76,353.44,['innondation']
41.3,42.9,4.9,11.5,2170-06-14,Zone 1,0.99,289.09,269.47,['seisme']
41.3,42.9,4.9,11.5,2170-06-14,Zone 3,0.39,141.43,910.77,['aucun']
42.2,33.7,2.8,9.9,2171-06-14,Zone 2,0.9,267.5,720.96,"['innondation', 'seisme']"
42.2,33.7,2.8,9.9,2171-06-14,Zone 1,0.67,235.51,137.3,['seisme']
42.2,33.7,2.8,9.9,2171-06-14,Zone 3,0.5,190.2,843.58,['innondation']
29.7,57.0,10.9,20.0,2170-07-14,Zone 2,0.62,172.71,631.35,['innondation']
29.7,57.0,10.9,20.0,2170-07-14,Zone 1,0.55,286.79,344.61,['aucun']
29.7,57.0,10.9,20.0,2170-07-14,Zone 3,0.51,182.15,785.1,['innondation']
40.4,38.5,2.5,7.1,2171-07-14,Zone 2,0.93,290.96,446.66,['aucun']
40.4,38.5,2.5,7.1,2171-07-14,Zone 1,0.62,277.69,497.08,['aucun']
40.4,38.5,2.5,7.1,2171-07-14,Zone 3,0.52,117.02,164.83,['innondation']
37.1,44.0,5.9,12.8,2171-08-14,Zone 2,0.54,237.83,963.29,['aucun']
37.1,44.0,5.9,12.8,2171-08-14,Zone 1,0.63,241.71,178.84,['aucun']
37.1,44.0,5.9,12.8,2171-08-14,Zone 3,0.45,105.25,122.66,['innondation']
33.9,46.6,3.3,8.9,2171-09-14,Zone 2,0.74,293.9,113.99,['innondation']
33.9,46.6,3.3,8.9,2171-09-14,Zone 1,0.91,180.97,728.26,['aucun']
33.9,46.6,3.3,8.9,2171-09-14,Zone 3,0.58,128.34,396.55,['innondation']
11.8,70.3,10.1,20.4,2170-01-15,Zone 2,0.86,241.75,136.27,['innondation']
11.8,70.3,10.1,20.4,2170-01-15,Zone 1,0.65,175.99,26.2,['aucun']
11.8,70.3,10.1,20.4,2170-01-15,Zone 3,0.36,105.13,327.39,['innondation']
12.9,56.7,3.5,3.3,2171-01-15,Zone 2,0.77,215.51,907.99,['aucun']
12.9,56.7,3.5,3.3,2171-01-15,Zone 1,0.61,246.59,14.01,['aucun']
12.9,56.7,3.5,3.3,2171-01-15,Zone 3,0.69,198.62,592.34,['innondation']
22.5,58.1,4.3,7.3,2170-10-15,Zone 2,0.93,155.78,600.93,['innondation']
22.5,58.1,4.3,7.3,2170-10-15,Zone 1,0.69,170.3,78.62,['aucun']
22.5,58.1,4.3,7.3,2170-10-15,Zone 3,0.33,153.45,102.35,['aucun']
23.5,68.4,4.4,7.5,2171-10-15,Zone 2,0.75,241.63,70.27,"['innondation', 'seisme']"
23.5,68.4,4.4,7.5,2171-10-15,Zone 1,0.79,201.55,61.65,['aucun']
23.5,68.4,4.4,7.5,2171-10-15,Zone 3,0.48,146.56,308.88,['aucun']
18.9,71.1,9.5,15.0,2170-11-15,Zone 2,0.82,224.96,531.84,['seisme']
18.9,71.1,9.5,15.0,2170-11-15,Zone 1,0.88,271.98,58.85,['seisme']
18.9,71.1,9.5,15.0,2170-11-15,Zone 3,0.6,151.74,690.48,['innondation']
22.8,60.8,4.9,10.2,2171-11-15,Zone 2,0.97,210.57,408.38,['aucun']
22.8,60.8,4.9,10.2,2171-11-15,Zone 1,0.99,154.51,691.22,['aucun']
22.8,60.8,4.9,10.2,2171-11-15,Zone 3,0.69,134.1,771.47,['innondation']
8.9,74.8,2.8,1.6,2170-12-15,Zone 2,0.67,247.59,670.93,"['innondation', 'seisme']"
8.9,74.8,2.8,1.6,2170-12-15,Zone 1,0.99,249.21,307.74,['seisme']
8.9,74.8,2.8,1.6,2170-12-15,Zone 3,0.68,148.39,618.95,['aucun']
20.1,82.3,3.2,4.5,2171-12-15,Zone 2,0.73,160.0,677.85,['aucun']
20.1,82.3,3.2,4.5,2171-12-15,Zone 1,0.54,150.23,679.16,['aucun']
20.1,82.3,3.2,4.5,2171-12-15,Zone 3,0.68,145.54,356.18,['innondation']
17.6,64.7,7.0,23.7,2170-02-15,Zone 2,0.59,299.32,2.67,['innondation']
17.6,64.7,7.0,23.7,2170-02-15,Zone 1,0.92,215.25,31.17,['aucun']
17.6,64.7,7.0,23.7,2170-02-15,Zone 3,0.55,137.68,612.57,['innondation']
12.2,72.2,12.1,18.9,2171-02-15,Zone 2,0.77,196.86,726.76,['aucun']
12.2,72.2,12.1,18.9,2171-02-15,Zone 1,0.7,289.91,451.61,['seisme']
12.2,72.2,12.1,18.9,2171-02-15,Zone 3,0.58,192.45,375.73,['aucun']
13.3,72.6,14.4,25.2,2170-03-15,Zone 2,0.86,268.48,189.71,"['innondation', 'seisme']"
13.3,72.6,14.4,25.2,2170-03-15,Zone 1,0.9,244.67,428.47,['seisme']
13.3,72.6,14.4,25.2,2170-03-15,Zone 3,0.48,188.35,585.57,['aucun']
19.4,64.1,21.0,47.1,2171-03-15,Zone 2,0.83,229.59,359.35,"['innondation', 'seisme']"
19.4,64.1,21.0,47.1,2171-03-15,Zone 1,0.66,252.15,618.03,['seisme']
19.4,64.1,21.0,47.1,2171-03-15,Zone 3,0.48,145.96,107.29,['aucun']
15.9,38.3,4.0,7.0,2170-04-15,Zone 2,0.59,216.42,325.19,['aucun']
15.9,38.3,4.0,7.0,2170-04-15,Zone 1,0.73,152.33,69.36,['aucun']
15.9,38.3,4.0,7.0,2170-04-15,Zone 3,0.37,154.1,609.18,['aucun']
20.2,68.7,4.5,9.3,2171-04-15,Zone 2,0.74,281.02,426.01,"['innondation', 'seisme']"
20.2,68.7,4.5,9.3,2171-04-15,Zone 1,0.85,224.09,645.34,['seisme']
20.2,68.7,4.5,9.3,2171-04-15,Zone 3,0.42,130.87,204.5,['innondation']
21.9,81.1,2.2,1.9,2170-05-15,Zone 2,0.78,198.59,295.54,['innondation']
21.9,81.1,2.2,1.9,2170-05-15,Zone 1,0.9,295.05,609.6,['aucun']
21.9,81.1,2.2,1.9,2170-05-15,Zone 3,0.6,119.76,379.75,['aucun']
31.9,51.8,5.1,17.5,2171-05-15,Zone 2,0.55,278.72,36.41,['aucun']
31.9,51.8,5.1,17.5,2171-05-15,Zone 1,0.82,297.44,710.77,['aucun']
31.9,51.8,5.1,17.5,2171-05-15,Zone 3,0.49,161.93,443.51,['innondation']
41.7,32.0,2.8,7.0,2170-06-15,Zone 2,0.94,270.77,538.64,"['innondation', 'seisme']"
41.7,32.0,2.8,7.0,2170-06-15,Zone 1,0.55,283.67,160.3,['aucun']
41.7,32.0,2.8,7.0,2170-06-15,Zone 3,0.44,188.61,763.11,['innondation']
41.3,34.3,3.0,7.0,2171-06-15,Zone 2,0.53,285.81,306.62,['innondation']
41.3,34.3,3.0,7.0,2171-06-15,Zone 1,0.63,285.4,492.14,['seisme']
41.3,34.3,3.0,7.0,2171-06-15,Zone 3,0.39,154.86,39.78,['aucun']
33.9,50.4,6.8,12.7,2170-07-15,Zone 2,0.74,197.31,607.24,['aucun']
33.9,50.4,6.8,12.7,2170-07-15,Zone 1,0.76,168.14,458.03,['aucun']
33.9,50.4,6.8,12.7,2170-07-15,Zone 3,0.44,129.1,145.0,['innondation']
41.2,33.6,3.4,8.8,2171-07-15,Zone 2,0.78,263.36,412.13,['aucun']
41.2,33.6,3.4,8.8,2171-07-15,Zone 1,0.89,299.77,407.04,['seisme']
41.2,33.6,3.4,8.8,2171-07-15,Zone 3,0.62,141.95,611.79,['aucun']
37.0,37.2,3.4,9.2,2171-08-15,Zone 2,0.95,249.96,808.5,"['innondation', 'seisme']"
37.0,37.2,3.4,9.2,2171-08-15,Zone 1,0.87,246.66,249.52,['seisme']
37.0,37.2,3.4,9.2,2171-08-15,Zone 3,0.37,121.46,557.18,['innondation']
39.5,47.4,4.2,10.1,2171-09-15,Zone 2,0.54,209.25,604.78,['innondation']
39.5,47.4,4.2,10.1,2171-09-15,Zone 1,0.87,265.82,537.74,['seisme']
39.5,47.4,4.2,10.1,2171-09-15,Zone 3,0.44,193.75,143.75,['innondation']
11.2,71.6,3.3,3.1,2170-01-16,Zone 2,0.93,239.04,18.42,['aucun']
11.2,71.6,3.3,3.1,2170-01-16,Zone 1,0.74,273.88,443.24,['aucun']
11.2,71.6,3.3,3.1,2170-01-16,Zone 3,0.57,113.54,544.56,['innondation']
19.7,67.2,3.7,4.4,2170-10-16,Zone 2,0.83,153.6,402.83,['innondation']
19.7,67.2,3.7,4.4,2170-10-16,Zone 1,0.84,263.84,557.82,['seisme']
19.7,67.2,3.7,4.4,2170-10-16,Zone 3,0.4,185.36,96.48,['innondation']
26.4,56.3,5.9,19.7,2171-10-16,Zone 2,0.86,155.05,54.93,['innondation']
26.4,56.3,5.9,19.7,2171-10-16,Zone 1,0.88,204.27,743.52,['seisme']
26.4,56.3,5.9,19.7,2171-10-16,Zone 3,0.66,149.37,647.76,['innondation']
13.9,68.0,5.6,9.5,2170-11-16,Zone 2,0.74,200.13,989.49,"['innondation', 'seisme']"
13.9,68.0,5.6,9.5,2170-11-16,Zone 1,0.71,221.66,458.05,['aucun']
13.9,68.0,5.6,9.5,2170-11-16,Zone 3,0.53,161.57,528.43,['innondation']
19.0,58.1,3.4,6.5,2171-11-16,Zone 2,0.99,263.49,137.38,"['innondation', 'seisme']"
19.0,58.1,3.4,6.5,2171-11-16,Zone 1,0.98,151.75,716.27,['aucun']
19.0,58.1,3.4,6.5,2171-11-16,Zone 3,0.67,144.62,426.03,['innondation']
8.5,70.7,3.0,1.5,2170-12-16,Zone 2,0.96,178.36,596.82,['aucun']
8.5,70.7,3.0,1.5,2170-12-16,Zone 1,0.9,200.53,229.27,['seisme']
8.5,70.7,3.0,1.5,2170-12-16,Zone 3,0.34,179.71,247.74,['innondation']
2.7,52.8,5.0,5.5,2171-12-16,Zone 2,0.6,244.49,193.59,['innondation']
2.7,52.8,5.0,5.5,2171-12-16,Zone 1,0.91,220.75,112.88,['seisme']
2.7,52.8,5.0,5.5,2171-12-16,Zone 3,0.33,189.33,446.0,['innondation']
18.1,71.2,6.1,16.4,2170-02-16,Zone 2,0.54,269.04,539.79,['innondation']
18.1,71.2,6.1,16.4,2170-02-16,Zone 1,0.75,241.32,567.66,['aucun']
18.1,71.2,6.1,16.4,2170-02-16,Zone 3,0.51,102.11,412.59,['aucun']
17.6,71.7,14.0,23.1,2171-02-16,Zone 2,0.7,225.62,731.12,"['innondation', 'seisme']"
17.6,71.7,14.0,23.1,2171-02-16,Zone 1,0.61,282.83,353.5,['aucun']
17.6,71.7,14.0,23.1,2171-02-16,Zone 3,0.67,155.96,939.77,['innondation']
14.2,55.1,11.9,19.9,2170-03-16,Zone 2,0.98,183.88,377.21,['innondation']
14.2,55.1,11.9,19.9,2170-03-16,Zone 1,0.92,252.59,96.0,['seisme']
14.2,55.1,11.9,19.9,2170-03-16,Zone 3,0.54,194.84,89.59,['innondation']
18.4,58.7,9.6,27.2,2171-03-16,Zone 2,0.93,264.58,844.47,['aucun']
18.4,58.7,9.6,27.2,2171-03-16,Zone 1,0.77,271.28,371.96,['aucun']
18.4,58.7,9.6,27.2,2171-03-16,Zone 3,0.5,113.22,949.83,['innondation']
17.2,37.8,4.7,10.4,2170-04-16,Zone 2,0.55,266.24,519.0,['aucun']
17.2,37.8,4.7,10.4,2170-04-16,Zone 1,0.86,234.74,381.09,['seisme']
17.2,37.8,4.7,10.4,2170-04-16,Zone 3,0.47,135.74,170.07,['aucun']
26.7,62.0,9.4,17.3,2171-04-16,Zone 2,0.76,235.01,999.87,['aucun']
26.7,62.0,9.4,17.3,2171-04-16,Zone 1,0.73,189.94,19.61,['aucun']
26.7,62.0,9.4,17.3,2171-04-16,Zone 3,0.4,120.01,172.54,['innondation']
23.1,79.5,7.4,13.0,2170-05-16,Zone 2,0.91,253.91,733.49,"['innondation', 'seisme']"
23.1,79.5,7.4,13.0,2170-05-16,Zone 1,0.85,205.43,677.65,['aucun']
23.1,79.5,7.4,13.0,2170-05-16,Zone 3,0.33,137.4,379.08,['innondation']
31.4,50.1,3.5,7.8,2171-05-16,Zone 2,0.71,194.83,125.38,['innondation']
31.4,50.1,3.5,7.8,2171-05-16,Zone 1,0.83,210.91,704.37,['seisme']
31.4,50.1,3.5,7.8,2171-05-16,Zone 3,0.44,101.82,277.04,['innondation']
40.1,36.3,4.9,17.2,2170-06-16,Zone 2,0.69,214.08,350.89,"['innondation', 'seisme']"
40.1,36.3,4.9,17.2,2170-06-16,Zone 1,0.75,183.09,173.28,['aucun']
40.1,36.3,4.9,17.2,2170-06-16,Zone 3,0.55,155.92,595.25,['innondation']
41.3,37.9,2.4,6.0,2171-06-16,Zone 2,0.7,167.73,493.56,['innondation']
41.3,37.9,2.4,6.0,2171-06-16,Zone 1,0.88,242.36,449.52,['seisme']
41.3,37.9,2.4,6.0,2171-06-16,Zone 3,0.66,118.17,243.12,['innondation']
9.4,31.4,3.1,6.3,2170-07-16,Zone 2,0.99,155.61,146.46,['aucun']
9.4,31.4,3.1,6.3,2170-07-16,Zone 1,0.65,275.31,256.87,['seisme']
9.4,31.4,3.1,6.3,2170-07-16,Zone 3,0.67,169.94,517.13,['innondation']
40.4,29.6,2.2,6.8,2171-07-16,Zone 2,0.95,219.3,681.64,['innondation']
40.4,29.6,2.2,6.8,2171-07-16,Zone 1,0.92,272.73,535.8,['seisme']
40.4,29.6,2.2,6.8,2171-07-16,Zone 3,0.38,178.08,46.88,['innondation']
36.3,41.9,5.0,11.3,2171-08-16,Zone 2,0.68,257.28,301.47,['innondation']
36.3,41.9,5.0,11.3,2171-08-16,Zone 1,0.72,239.32,549.15,['seisme']
36.3,41.9,5.0,11.3,2171-08-16,Zone 3,0.46,195.95,664.01,['innondation']
36.2,42.5,7.8,19.0,2171-09-16,Zone 2,0.64,175.89,979.51,['aucun']
36.2,42.5,7.8,19.0,2171-09-16,Zone 1,0.64,192.84,113.83,['aucun']
36.2,42.5,7.8,19.0,2171-09-16,Zone 3,0.66,172.11,245.95,['innondation']
8.8,66.4,4.0,5.2,2170-01-17,Zone 2,0.65,176.52,594.84,['innondation']
8.8,66.4,4.0,5.2,2170-01-17,Zone 1,0.78,184.85,163.8,['aucun']
8.8,66.4,4.0,5.2,2170-01-17,Zone 3,0.61,168.61,172.79,['innondation']
9.4,78.2,3.6,5.4,2171-01-17,Zone 2,0.54,225.67,899.11,['innondation']
9.4,78.2,3.6,5.4,2171-01-17,Zone 1,0.52,212.4,680.61,['aucun']
9.4,78.2,3.6,5.4,2171-01-17,Zone 3,0.65,197.74,740.83,['innondation']
17.6,65.5,3.5,7.7,2170-10-17,Zone 2,0.68,162.1,192.78,['innondation']
17.6,65.5,3.5,7.7,2170-10-17,Zone 1,0.91,191.42,636.87,['aucun']
17.6,65.5,3.5,7.7,2170-10-17,Zone 3,0.35,122.09,918.28,['innondation']
14.0,55.1,5.5,14.0,2171-10-17,Zone 2,0.59,214.82,881.06,['innondation']
14.0,55.1,5.5,14.0,2171-10-17,Zone 1,0.82,297.83,42.27,['seisme']
14.0,55.1,5.5,14.0,2171-10-17,Zone 3,0.38,177.69,503.26,['innondation']
17.3,75.2,8.4,13.4,2170-11-17,Zone 2,0.88,261.83,696.15,['seisme']
17.3,75.2,8.4,13.4,2170-11-17,Zone 1,0.65,203.4,609.3,['seisme']
17.3,75.2,8.4,13.4,2170-11-17,Zone 3,0.41,128.16,307.58,['innondation']
22.6,75.4,8.4,13.2,2171-11-17,Zone 2,0.64,151.65,776.18,['innondation']
22.6,75.4,8.4,13.2,2171-11-17,Zone 1,0.81,294.61,614.86,['seisme']
22.6,75.4,8.4,13.2,2171-11-17,Zone 3,0.45,127.65,901.43,['innondation']
13.1,59.3,6.4,18.0,2170-12-17,Zone 2,0.59,232.77,378.41,['innondation']
13.1,59.3,6.4,18.0,2170-12-17,Zone 1,0.74,221.61,62.49,['seisme']
13.1,59.3,6.4,18.0,2170-12-17,Zone 3,0.58,136.17,555.46,['innondation']
15.3,68.2,3.6,4.1,2171-12-17,Zone 2,0.6,201.83,399.94,['innondation']
15.3,68.2,3.6,4.1,2171-12-17,Zone 1,0.52,157.49,68.87,['aucun']
15.3,68.2,3.6,4.1,2171-12-17,Zone 3,0.64,170.08,362.57,['innondation']
15.2,57.6,5.5,8.5,2170-02-17,Zone 2,0.75,261.22,387.85,['seisme']
15.2,57.6,5.5,8.5,2170-02-17,Zone 1,0.95,251.71,16.94,['seisme']
15.2,57.6,5.5,8.5,2170-02-17,Zone 3,0.39,160.63,105.9,['aucun']
21.4,63.1,11.7,16.9,2171-02-17,Zone 2,0.81,274.53,123.22,"['innondation', 'seisme']"
21.4,63.1,11.7,16.9,2171-02-17,Zone 1,0.91,228.55,296.91,['aucun']
21.4,63.1,11.7,16.9,2171-02-17,Zone 3,0.48,185.74,23.1,['innondation']
20.0,52.2,9.6,20.3,2170-03-17,Zone 2,0.59,166.6,631.72,['innondation']
20.0,52.2,9.6,20.3,2170-03-17,Zone 1,0.61,295.81,760.25,['seisme']
20.0,52.2,9.6,20.3,2170-03-17,Zone 3,0.51,133.07,49.1,['innondation']
18.3,69.3,5.0,8.5,2171-03-17,Zone 2,0.55,239.18,183.35,['innondation']
18.3,69.3,5.0,8.5,2171-03-17,Zone 1,0.9,179.05,458.21,['aucun']
18.3,69.3,5.0,8.5,2171-03-17,Zone 3,0.58,164.8,290.88,['aucun']
15.1,37.8,10.3,17.4,2170-04-17,Zone 2,0.63,285.94,17.83,"['innondation', 'seisme']"
15.1,37.8,10.3,17.4,2170-04-17,Zone 1,0.99,218.02,530.39,['aucun']
15.1,37.8,10.3,17.4,2170-04-17,Zone 3,0.61,197.95,343.49,['innondation']
22.2,61.3,7.9,14.3,2171-04-17,Zone 2,0.81,158.21,830.5,['aucun']
22.2,61.3,7.9,14.3,2171-04-17,Zone 1,0.8,292.04,309.2,['seisme']
22.2,61.3,7.9,14.3,2171-04-17,Zone 3,0.32,153.5,826.9,['innondation']
23.9,57.2,12.9,21.2,2170-05-17,Zone 2,0.6,162.73,844.35,['innondation']
23.9,57.2,12.9,21.2,2170-05-17,Zone 1,0.63,204.94,364.33,['aucun']
23.9,57.2,12.9,21.2,2170-05-17,Zone 3,0.65,197.69,425.54,['innondation']
28.9,42.9,3.6,8.1,2171-05-17,Zone 2,0.65,196.68,252.65,['innondation']
28.9,42.9,3.6,8.1,2171-05-17,Zone 1,0.93,152.26,91.74,['aucun']
28.9,42.9,3.6,8.1,2171-05-17,Zone 3,0.33,127.5,473.13,['innondation']
36.7,59.1,4.2,12.0,2170-06-17,Zone 2,0.6,213.24,920.47,['innondation']
36.7,59.1,4.2,12.0,2170-06-17,Zone 1,0.64,162.56,265.86,['aucun']
36.7,59.1,4.2,12.0,2170-06-17,Zone 3,0.52,114.37,377.39,['innondation']
44.4,30.0,2.2,5.5,2171-06-17,Zone 2,0.91,196.86,300.87,['innondation']
44.4,30.0,2.2,5.5,2171-06-17,Zone 1,0.98,197.65,289.68,['aucun']
44.4,30.0,2.2,5.5,2171-06-17,Zone 3,0.56,120.22,86.54,['innondation']
19.9,28.0,3.8,7.4,2170-07-17,Zone 2,0.65,284.39,852.61,"['innondation', 'seisme']"
19.9,28.0,3.8,7.4,2170-07-17,Zone 1,0.71,266.76,130.4,['seisme']
19.9,28.0,3.8,7.4,2170-07-17,Zone 3,0.35,112.13,511.98,['innondation']
42.5,30.1,2.8,7.4,2171-07-17,Zone 2,0.82,192.02,656.02,['aucun']
42.5,30.1,2.8,7.4,2171-07-17,Zone 1,0.86,286.62,480.26,['seisme']
42.5,30.1,2.8,7.4,2171-07-17,Zone 3,0.51,125.72,410.06,['innondation']
33.8,48.9,6.6,12.8,2171-08-17,Zone 2,0.81,171.18,72.44,['aucun']
